"ISONum","SH_LGR_ACSRHES1","SH_LGR_ACSRHES1_Year","SH_LGR_ACSRHES2","SH_LGR_ACSRHES2_Year","SH_LGR_ACSRHES3","SH_LGR_ACSRHES3_Year","SH_LGR_ACSRHES4","SH_LGR_ACSRHES4_Year","CollectData","ProviderDisc","HIVKnow_w_1524","HIVKnow_w_Year","HIVKnow_m_1524","HIVKnow_m_Year","knows_ltm_stm_w","knows_ltm_stm_w_Year","knows_ltm_stm_m","knows_ltm_stm_m_Year","fert_know_w","fert_know_w_Year","fert_know_m","fert_know_m_Year","DS_1524","DS_Year","HIV","HIV_Year","ASFR15","ASFR15_Year","SH_STA_MORT","SH_STA_MORT_Year","UpperSec_Both","UpperSec_Female","UpperSec_Male","UpperSec_Year","Res_Civil","Res_Civil_Year","SP_DYN_MRBF18","SP_DYN_MRBF18_Year","violence_w_1524","Violence_Year","Educ_GDP","Educ_GDP_Year","SE.SEC.ENRR","SE.SEC.ENRR_Year","gwp1_n_5","gwp1_n_5_Year","gwp2_n_5","gwp2_n_5_Year","SL_CPA_YEMP","SL_CPA_YEMP_Label","SL_CPA_YEMP_Year","account_t_d_5","account_t_d_5_Year","account_t_d_6","account_t_d_6_Year","SL_TLF_NEET_Both","SL_TLF_NEET_Year","BetterOff","BetterOff_Year","WorkPov","WorkPov_Year","YouthPolicy","YouthPolicy_Num","YouthPolicy_Year","Vote_National","Vote_National_Year","active_member","active_member_Year","Parliament30","Parliament30_Year","INFORM","INFORM_Year","pol_part","pol_part_Year","humanrights","humanrights_Year","Displacement","Displacement_Year","InterViolence","InterViolence_Year","SelfHarm","SelfHarm_Year"
116,"94",2019,"100",2019,"100",2019,"100",2019,"34.567901234567898","22.222222222222221",37.6,2014,45.9,2014,0.961996773542161,2014,,,0.163473038722502,2014,,,54.3,2014,0.05,2019,50.176980176,"2015-2020",160,2017,"21.22902","20.86448","21.59377","2014",0.409,2019,"18.5",2014,13,2014,2.16285991668701,2018,54.8304100036621,2020,78.65148,2017,42.33826,2017,"2","The country has developed and adopted a national strategy for youth employment",2020,23.12202,2017,21.39776,2017,"6.1",2017,,,11.78,2019,"Yes",1,2021,,,,,,,4.8,2021,,,,,0.0000395744821570587,"2020",3.41224693527584,2019,3.66447135372159,2019
120,"79",2019,"100",2019,"0",2019,,,"51.587301587301589","19.658119658119656",40.6,2018,35.8,2018,0.629340173343904,2018,0.575223079460428,2018,0.422614543879171,2018,0.177207085175667,2018,48.7,2018,1.09,2019,105.799955,"2015-2020",529,2017,"16.01381","14.15795","18.09549","2014",0.454,2019,"29.8",2018,36,2018,3.10050010681152,2019,60.0581588745117,2016,76.1245,2017,33.4042,2017,"2","The country has developed and adopted a national strategy for youth employment",2020,31.40362,2017,43.48902,2017,"17.0",2014,,,19.83,2019,"Yes",1,2021,,,,,1.11,2020,6.1,2021,,,,,0.00246812410707065,"2020",3.2029000394117,2019,3.96493995324137,2019
140,"75",2019,"70",2019,"94",2019,"75",2019,"42.735042735042732","16.666666666666664",,,,,0.411729805022911,1994,0.561684655904385,1994,0.167718517697793,1994,,,9.7,1994,1.68,2019,129.074005164,"2015-2020",829,2017,"6.93784","5.72854","8.65772","2010",0.542,2019,"61.0",2019,,,1.76871001720428,2019,17.1353797912598,2017,42.24891,2017,9.01612,2017,"2","The country has developed and adopted a national strategy for youth employment",2020,13.24882,2017,14.6187,2017,,,,,65.91,2019,"Draft",0.5,2021,,,,,,,7.8,2021,,,,,0.230665914103248,"2020",8.30729097607005,2019,6.04384750886025,2019
148,"94",2019,"100",2019,"0",2019,"75",2019,"29.629629629629626","17.777777777777779",11.2,2014,15.4,2014,0.344095453788496,2014,0.248029145312385,2014,0.255764073900994,2014,0.17258668320119,2014,15.5,2014,0.54,2019,161.090038884,"2015-2020",1140,2017,"9.80743","5.48857","14.63806","2014",0.272,2019,"60.6",2019,26.4,2014,2.37245988845825,2019,20.5550403594971,2019,44.32227,2017,8.418994,2017,,,,19.68652,2017,26.47373,2017,"37.1",2018,,,45.11,2019,"No",0,2021,,,,,0,2020,7.9,2021,,,,,0.0204804664270649,"2020",6.9546148394666,2019,3.77315666847662,2019
170,"92",2019,"100",2019,"100",2019,"100",2019,"65.656565656565661","36.36363636363636",31.9,2015,29,2015,0.968340353894071,2015,0.927756652368239,2015,0.232968713198864,2015,0.161106726220414,2015,81.1,2015,0.16,2019,66.6509844,"2015-2020",83,2017,"71.95","74.5","69.3","2018",0.206,2019,"23.4",2015,25.4,2010,4.5062198638916,2019,100.806312561035,2019,83.24375,2017,75.45256,2017,"3","The country has operationalized a national strategy for youth employment",2020,43.80986,2017,49.01577,2017,"24.0",2019,0.454794520547945,2018,1.45,2019,"Yes",1,2021,0.742465753424657,2018,0.219178082191781,2018,7.27,2020,5.4,2021,0.43013698630137,2018,0.383561643835616,2018,0.253905014367908,"2020",42.2551089670303,2019,6.33721489810192,2019
178,"44",2019,"92",2019,"0",2019,"60",2019,"60.185185185185183","32.478632478632477",14.4,2011,27.6,2011,0.427440537350476,2011,0.440729739608263,2011,0.515776350214621,2011,,,43.5,2011,2.61,2019,112.229,"2015-2020",378,2017,"23.32456","19.37809","27.91024","2015",0.583,2019,"27.3",2015,,,3.89800000190735,2019,52.5928192138672,2012,68.63574,2017,36.47975,2017,"2","The country has developed and adopted a national strategy for youth employment",2020,26.49966,2017,25.2641,2017,"26.5",2005,,,50.06,2019,"No",0,2021,,,,,1.99,2020,5.2,2021,,,,,0.00161097101708265,"2020",4.24830680909909,2019,3.17956280256954,2019
188,"50",2019,"67",2019,"0",2019,"100",2019,,,,,,,,,,,,,,,,,0.13,2019,53.459998976,"2015-2020",27,2017,"58.38","63.42","53.45","2018",0.105,2019,"21.2",2018,,,6.74626016616821,2020,142.017486572266,2020,97.644,2017,92.75642,2017,"1","The country is in the process of developing a national strategy for youth employment",2020,68.60756,2017,67.24707,2017,"17.9",2019,,,0.29,2019,"Yes",1,2021,,,,,3.51,2020,3.2,2021,,,,,0.0000350555747712039,"2020",11.0113880229214,2019,6.65891584221013,2019
384,"56",2019,"100",2019,"0",2019,"75",2019,"46.153846153846153","42.592592592592588",15.7,2012,24.6,2012,0.382203965642371,2011,0.38561834609979,2011,0.284740100406697,2011,0.136161265011799,2011,32.4,2012,0.57,2019,117.6270264,"2015-2020",617,2017,"15.66811","14.28465","17.3297","2016",0.204,2019,"27.0",2016,36.7,2012,3.70040011405945,2019,57.4168014526367,2020,74.99745,2017,32.51578,2017,,,,37.68776,2017,48.24468,2017,"34.8",2017,,,24.65,2019,"Draft",0.5,2021,,,,,,,5.9,2021,,,,,0.00162294054747122,"2020",6.64514020417913,2019,3.80338416184394,2019
203,"79",2019,"0",2019,"100",2019,"100",2019,,,,,,,,,,,,,,,,,,,11.972003286,"2015-2020",3,2017,"94.42","94.41","94.44","2014",0.263,2019,,,,,4.26692008972168,2018,101.301551818848,2019,98.05477,2017,99.00069,2017,"3","The country has operationalized a national strategy for youth employment",2020,71.0353,2017,94.31107,2017,"5.7",2019,,,,,"Yes",1,2021,,,,,2.5,2020,1.1,2021,,,,,0,"2020",0.585049048539796,2019,5.46983286915788,2019
408,"88",2019,"100",2019,"63",2019,"75",2019,,,,,,,,,,,,,,,,,,,0.2829856,"2015-2020",89,2017,,,,,,,"0.1",2018,,,,,92.2727813720703,2015,,,,,,,,,,,,,,,,21.19,2019,"Unclear",,2021,,,,,,,5.3,2021,,,,,0,"2020",2.57440294076029,2019,5.9789880855619,2019
208,"88",2019,"85",2019,"100",2019,"90",2019,,,,,,,,,,,,,,,,,,,4.122996822,"2015-2020",4,2017,"82.1","85.69","78.45","2014",0.11,2019,,,,,7.75243997573853,2017,129.885025024414,2019,100,2017,99.49481,2017,,,,100,2017,100,2017,"7.7",2019,,,,,"Yes",1,2021,,,,,9.5,2020,1.2,2021,,,,,0,"2020",0.567913084250294,2019,3.1376816600076,2019
818,"51",2019,"37",2019,"0",2019,"65",2019,"39.999999999999993","28.28282828282828",2.9,2014,,,0.98579145242439,2014,,,0.275413402505646,2014,,,,,0.04,2019,53.8189938,"2015-2020",37,2017,"41.88959","40.94855","42.81052","2014",,,"17.4",2014,39.4,2014,3.9308500289917,2015,89.4806823730469,2019,82.21193,2017,46.77841,2017,"3","The country has operationalized a national strategy for youth employment",2020,19.5616,2017,39.40651,2017,"27.1",2018,0.322222222222222,2018,2.82,2019,"Unclear",,2021,0.459459459459459,2018,0.0378378378378378,2018,1.01,2020,4.8,2021,0.0864864864864865,2018,0.248587570621469,2018,0.0000711204006418408,"2020",0.466805777621181,2019,2.23899756468783,2019
222,"69",2019,"100",2019,"100",2019,"75",2019,"58.974358974358971","35.042735042735046",,,,,0.754603776267156,1985,,,,,,,,,0.1,2019,69.459009282,"2015-2020",46,2017,"59.24","60.23","58.12","2018",0.178,2019,"25.5",2014,,,3.38515996932983,2019,68.6674423217773,2019,78.76582,2017,69.24892,2017,"2","The country has developed and adopted a national strategy for youth employment",2020,27.88875,2017,33.20686,2017,"27.9",2019,,,0.7,2019,"Yes",1,2021,,,,,1.19,2020,4.6,2021,,,,,0.00131591058135923,"2020",50.1987970994877,2019,7.71516492669882,2019
246,"94",2019,"100",2019,"100",2019,"100",2019,,,,,,,,,,,,,,,,,,,5.8129902,"2015-2020",3,2017,"89.04","92.93","85.12","2014",0.183,2019,"0.0",2017,,,6.26929998397827,2018,145.318984985352,2019,100,2017,99.26421,2017,,,,100,2017,99.44135,2017,"8.2",2019,,,,,"Yes",1,2021,,,,,3.5,2020,0.9,2021,,,,,,,0.902364990412514,2019,8.94308608200793,2019
266,"75",2019,"22",2019,"100",2019,"48",2019,,,29.8,2012,36.1,2012,0.563596508218324,2012,0.46195900030975,2012,0.481655223965364,2012,,,51.3,2012,1.11,2019,96.22704,"2015-2020",252,2017,"13.82765","13.88263","13.74962","2012",0.256,2019,"21.9",2012,50.4,2012,2.76782989501953,2019,,,83.91543,2017,62.78151,2017,"1","The country is in the process of developing a national strategy for youth employment",2020,62.74459,2017,54.25847,2017,,,,,2.48,2019,"Yes",1,2021,,,,,,,3.7,2021,,,,,0.0000239037158326262,"2020",4.20529584921843,2019,3.90241292840864,2019
270,"81",2019,"100",2019,"100",2019,"65",2019,"58.974358974358971","23.015873015873016",22.4,2019,18.2,2019,0.891894963353935,2019,0.686914558925342,2019,0.156775651969344,2019,0.0755889805283164,2019,27.3,2019,0.89,2019,78.184995,"2015-2020",597,2017,"30.18718","27.84528","32.81327","2013",0.484,2019,"25.7",2018,45.6,2019,2.87529993057251,2019,50.1289482116699,2010,,,,,"2","The country has developed and adopted a national strategy for youth employment",2020,,,,,"49.6",2018,,,9.93,2019,"Yes",1,2021,,,,,10.34,2020,4,2021,,,,,0.000394220902133909,"2020",0.718049905882889,2019,3.05398401946499,2019
268,"90",2019,"100",2019,"94",2019,"90",2019,"43.434343434343432","38.095238095238095",,,,,,,,,,,,,,,,,46.40799324,"2015-2020",25,2017,"96.01","96.03","95.98","2013",0.187,2019,"13.9",2018,,,3.83912992477417,2020,102.550750732422,2020,95.20804,2017,87.58174,2017,"1","The country is in the process of developing a national strategy for youth employment",2020,44.31547,2017,56.68398,2017,"26.0",2019,,,3.81,2019,"Yes",1,2021,0.730994152046784,2014,0.0116279069767442,2014,0.67,2020,4,2021,0.189024390243902,2014,0.619883040935672,2014,0.0859041751044853,"2020",2.39553356810315,2019,3.99256870924055,2019
276,"68",2019,"85",2019,,,"100",2019,,,,,,,,,,,,,,,,,,,8.09500744,"2015-2020",7,2017,"80.07","81.66","78.82","2014",0.143,2019,,,,,4.99274015426636,2018,97.5406036376953,2019,90.17366,2017,98.75275,2017,"3","The country has operationalized a national strategy for youth employment",2020,97.70521,2017,99.47342,2017,"5.7",2019,0.717741935483871,2018,,,"Yes",1,2021,0.8,2018,0.123076923076923,2018,0.42,2020,2,2021,0.630769230769231,2018,0.930232558139535,2018,0,"2020",0.537084418665808,2019,5.22923017732624,2019
300,"59",2019,"33",2019,"0",2019,"90",2019,,,,,,,,,,,,,,,,,,,7.223006208,"2015-2020",3,2017,"93.05","92.59","93.54","2014",0.166,2019,,,,,3.59395003318787,2018,108.076858520508,2019,96.26254,2017,96.34317,2017,"3","The country has operationalized a national strategy for youth employment",2020,71.637,2017,91.19205,2017,"12.5",2019,0.616537805586764,2017,,,"No",0,2021,0.798205088460223,2017,0.0346434021574478,2017,0.67,2020,2.9,2021,0.427053030663604,2017,0.517727878660029,2017,0,"2020",0.60077470680934,2019,1.82152441285285,2019
624,"75",2019,"85",2019,"50",2019,"65",2019,"81.196581196581207","3.9682539682539688",,,,,,,,,,,,,,,1.53,2019,104.8230436,"2015-2020",667,2017,"6.59371","4.51011","8.72771","2014",,,"25.7",2019,,,2.94781994819641,2019,,,,,,,"2","The country has developed and adopted a national strategy for youth employment",2020,,,,,,,,,62.98,2019,"No",0,2021,,,,,,,4.6,2021,,,,,0.0000482593233300418,"2020",8.11231796014096,2019,4.66120601281961,2019
328,"92",2019,"70",2019,"100",2019,"49",2019,,,54.1,2009,46.6,2009,0.711851253004555,2009,0.507351410740747,2009,0.136996933354662,2009,0.11313106964532,2009,58.3,2009,0.51,2019,74.382021824,"2015-2020",169,2017,"56.14666","63.86669","48.47908","2014",,,"30.2",2014,,,4.45058012008667,2018,97.7277908325195,2012,,,,,,,,,,,,"35.8",2018,,,2,2019,"Draft",0.5,2021,,,,,,,3.7,2021,,,,,0,"2020",20.68891885403,2019,21.6639707936602,2019
332,"73",2019,"85",2019,"0",2019,"75",2019,"45.454545454545453","22.222222222222221",38.3,2016,36.2,2016,0.91198536573532,2016,0.888759652717459,2016,0.230023866220903,2016,0.199756800987825,2016,43.7,2016,0.78,2019,51.675976,"2015-2020",480,2017,"16.56566","16.24246","16.95399","2017",0.591,2019,"14.9",2017,32.2,2016,1.68210005760193,2018,,,72.28621,2017,42.28956,2017,,,,33.6095,2017,34.21368,2017,"18.2",2012,,,13.6,2019,"Draft",0.5,2021,0.357864357864358,2016,0.0494186046511628,2016,0,2020,6.3,2021,0.356756756756757,2016,0.178674351585014,2016,0.000356465057211579,"2020",25.8949777941946,2019,6.46752441517926,2019
368,"38",2019,"27",2019,"0",2019,"70",2019,"53.703703703703695","17.171717171717169",,,,,,,,,,,,,,,,,71.73301856,"2015-2020",79,2017,"18.64567","18.10166","19.15574","2011",0.515,2019,"27.9",2018,,,,,,,100,2017,61.30754,2017,"1","The country is in the process of developing a national strategy for youth employment",2020,18.74386,2017,23.6334,2017,"40.6",2012,0.261904761904762,2018,0.28,2019,"Draft",0.5,2021,0.721374045801527,2018,0.213740458015267,2018,,,6.5,2021,0.229007633587786,2018,0.296875,2018,0.0106068527906562,"2020",9.77944357559742,2019,3.69922823274645,2019
392,"46",2019,"100",2019,"100",2019,"100",2019,,,,,,,,,,,,,,,,,,,3.779988484,"2015-2020",5,2017,,,,,0.248,2019,,,,,,,101.954147338867,2018,97.47776,2017,95.71316,2017,"3","The country has operationalized a national strategy for youth employment",2020,94.25799,2017,99.54979,2017,"3.1",2019,0.538461538461538,2019,,,"Yes",1,2021,0.726027397260274,2019,0.0136986301369863,2019,0,2020,2.3,2021,0.191780821917808,2019,0.592592592592593,2019,0.00000341177042997801,"2020",0.274016867757109,2019,8.39622055855562,2019
398,"80",2019,"67",2019,"0",2019,"75",2019,"63.247863247863251","27.272727272727273",,,,,0.887960531456191,1999,0.7085695989779,1999,0.221495577851877,1999,,,54,1999,0.24,2019,29.749985408,"2015-2020",10,2017,"93.79456","94.84832","92.86859","2015",0.218,2019,"7.0",2015,,,2.8569700717926,2019,103.753273010254,2020,90.76086,2017,88.48298,2017,"1","The country is in the process of developing a national strategy for youth employment",2020,49.86048,2017,63.42278,2017,"9.5",2016,0.636363636363636,2018,0.01,2019,"Yes",1,2021,0.748148148148148,2018,0.0666666666666667,2018,3.77,2020,1.8,2021,0.118518518518519,2018,0.846153846153846,2018,0.0000230215755717439,"2020",4.32863594191951,2019,14.0227177335942,2019
417,"73",2019,"70",2019,"94",2019,"65",2019,"43.055555555555557","40.74074074074074",19.5,2012,24,2012,0.713806391281283,2012,0.49906163918124,2012,0.0854085958393413,2012,0.0424443924368704,2012,45.3,2012,0.17,2019,32.763,"2015-2020",60,2017,"80.57745","81.74889","79.18789","2014",0.18,2019,"12.9",2018,10.1,2012,5.36674976348877,2019,98.0836563110352,2020,94.05292,2017,74.21888,2017,"1","The country is in the process of developing a national strategy for youth employment",2020,36.1604,2017,44.08827,2017,"20.5",2018,0.700228240855126,2020,0.14,2019,"Yes",1,2021,0.604654720221408,2020,0.0737150753834697,2020,4.17,2020,3.6,2021,0.144363719524834,2020,0.739677415054914,2020,0.0000853904673187393,"2020",2.12706566750718,2019,6.9157539606324,2019
418,"88",2019,"100",2019,"100",2019,"100",2019,"32.323232323232325","22.222222222222221",,,,,,,,,,,,,,,0.23,2019,65.409984,"2015-2020",185,2017,"31.09862","30.17585","32.09525","2017",,,"32.7",2017,,,2.93780994415283,2014,62.7616195678711,2020,74.5079,2017,34.96656,2017,"2","The country has developed and adopted a national strategy for youth employment",2020,26.7138,2017,32.41293,2017,"42.1",2017,,,10.65,2019,"No",0,2021,,,,,,,4.3,2021,,,,,0,"2020",6.83941890824983,2019,5.96153926890321,2019
428,"51",2019,"33",2019,"100",2019,"100",2019,,,,,,,,,,,,,,,,,0.14,2019,16.171004994,"2015-2020",19,2017,"83.78","86.05","81.94","2014",0.277,2019,,,,,4.24517011642456,2018,107.602462768555,2019,98.63047,2017,97.98654,2017,"3","The country has operationalized a national strategy for youth employment",2020,89.97486,2017,98.55386,2017,"7.9",2019,,,,,"Yes",1,2021,,,,,4,2020,1.4,2021,,,,,0,"2020",2.27220054397231,2019,7.14046931841286,2019
434,"32",2019,"0",2019,"0",2019,"75",2019,,,,,,,,,,,,,,,,,0.07,2019,5.769,"2015-2020",72,2017,,,,,,,,,,,,,,,100,2017,79.72884,2017,,,,58.62921,2017,75.59862,2017,,,,,0.13,2019,"No",0,2021,0.700658275050393,2014,0.223707572978091,2014,,,6.5,2021,0.39152100381162,2014,0.412647183036703,2014,0.000641378950647652,"2020",1.72428492366158,2019,3.62784669711796,2019
440,"92",2019,"85",2019,"100",2019,"80",2019,,,,,,,,,,,,,,,,,0.07,2019,10.854000564,"2015-2020",8,2017,"89.04","91.34","86.71","2014",0.197,2019,"0.0",2019,,,3.89495992660522,2018,108.445510864258,2019,96.71212,2017,94.64512,2017,,,,77.97008,2017,90.78827,2017,"8.7",2019,,,,,"Yes",1,2021,,,,,2.84,2020,1.3,2021,,,,,0,"2020",2.11602315629229,2019,12.3761475735995,2019
454,"38",2019,"93",2019,"100",2019,"90",2019,"64.957264957264954","41.880341880341881",41.1,2015,44.3,2015,0.908264954318032,2015,0.850945355373478,2015,0.155172178261991,2015,0.0855819312497634,2015,68.8,2015,3.31,2019,132.670975,"2015-2020",349,2017,"14.12971","13.00677","15.44042","2016",0.619,2019,"42.1",2015,35.2,2015,2.90761995315552,2020,37.0849113464355,2019,49.88809,2017,22.09873,2017,,,,33.25273,2017,36.95062,2017,"32.9",2017,,,65.72,2019,"Yes",1,2021,,,,,,,4.8,2021,,,,,0.000015405612264548,"2020",2.0519985190062,2019,3.87203122496415,2019
458,"50",2019,"85",2019,"100",2019,"100",2019,"28.39506172839506","41.975308641975303",,,,,,,,,,,,,,,0.34,2019,13.41401579,"2015-2020",29,2017,,,,,,,,,,,4.16339015960693,2019,83.748161315918,2019,84.46329,2017,,,,,,87.06827,2017,83.34465,2017,"12.5",2018,0.561224489795918,2018,0,2019,"Yes",1,2021,0.36734693877551,2018,0.275510204081633,2018,0.9,2020,3.1,2021,0.316326530612245,2018,0.668367346938776,2018,0.00000164029617187679,"2020",1.73124600368511,2019,2.96682532645056,2019
